user_id,total_spent,avg_spent,transaction_count,spending_intensity,risk_segment,raw_score,financial_score,customer_tier
1,16060.35,65.2859756097561,246,65.02165991902834,Low,6517.525792682927,11.35,Basic
2,19741.7,74.49698113207548,265,74.21691729323308,Low,7998.529094339623,20.69,Basic
3,15894.32,59.086691449814126,269,58.86785185185185,Low,6456.154007434944,10.97,Basic
4,16674.82,68.62065843621399,243,68.33942622950819,Low,6763.414197530864,12.9,Basic
5,16529.47,69.45155462184874,238,69.16096234309624,Low,6704.023466386555,12.53,Basic
6,15597.42,62.89282258064516,248,62.64024096385542,Low,6332.235846774194,10.18,Basic
7,23945.91,98.95004132231404,242,98.54283950617284,Low,9680.649012396694,31.3,Basic
8,16757.64,62.06533333333333,270,61.83630996309963,Low,6802.6756000000005,13.15,Basic
9,16085.29,64.59955823293173,249,64.34116,Low,6528.19586746988,11.42,Basic
10,17136.44,60.55279151943463,283,60.339577464788725,Low,6957.64183745583,14.13,Basic
11,18139.77,67.18433333333334,270,66.93642066420665,Low,7357.063300000001,16.65,Basic
12,16324.11,65.55867469879519,249,65.29644,Low,6624.011602409639,12.02,Basic
13,20517.77,79.52624031007753,258,79.2191891891892,Low,8308.365872093023,22.64,Basic
14,20489.14,75.8857037037037,270,75.60568265682656,Low,8299.421711111112,22.59,Basic
15,16829.83,66.25917322834647,254,65.99933333333334,Low,6828.009751968504,13.31,Basic
16,19816.4,75.34752851711028,263,75.06212121212121,Low,8028.064258555134,20.88,Basic
17,18280.64,62.82006872852234,291,62.60493150684931,Low,7418.402020618557,17.03,Basic
18,17435.6,68.91541501976285,253,68.64409448818897,Low,7070.814624505928,14.84,Basic
19,19334.61,72.41426966292136,267,72.1440671641791,Low,7835.668280898878,19.66,Basic
20,21393.4,86.26370967741936,248,85.91726907630523,Low,8657.639112903225,24.85,Basic
21,16119.23,68.3018220338983,236,68.01362869198312,Low,6538.982546610169,11.49,Basic
22,23721.23,87.53221402214022,271,87.2104044117647,Low,9596.051664206641,30.76,Basic
23,19139.14,72.49674242424243,264,72.22316981132076,Low,7756.605022727273,19.17,Basic
24,16484.46,65.4145238095238,252,65.15596837944663,Low,6689.008357142857,12.43,Basic
25,16512.0,64.75294117647059,255,64.5,Low,6700.725882352941,12.51,Basic
26,17695.56,68.58744186046512,258,68.32262548262548,Low,7176.200232558141,15.51,Basic
27,22254.62,85.92517374517374,259,85.5946923076923,Low,9005.325552123553,27.04,Basic
28,30892.64,114.4171851851852,270,113.99498154981548,Low,12472.381155555557,48.9,Standard
29,18709.17,64.0725,292,63.85382252559727,Low,7590.48975,18.12,Basic
30,15758.89,58.58323420074349,269,58.36625925925926,Low,6401.830970260224,10.62,Basic
31,21522.13,76.04992932862191,283,75.78214788732394,Low,8716.566978798586,25.22,Basic
32,17941.42,64.0765,280,63.84846975088967,Low,7279.79095,16.16,Basic
33,30463.33,124.8497131147541,244,124.3401224489796,Low,12295.986913934428,47.79,Standard
34,17319.26,68.18606299212598,254,67.91866666666667,Low,7024.3598188976375,14.55,Basic
35,15437.85,64.59351464435147,239,64.324375,Low,6266.2180543933055,9.77,Basic
36,17111.44,66.58147859922178,257,66.32341085271317,Low,6941.650443579767,14.03,Basic
37,15791.56,64.19333333333333,246,63.93344129554656,Low,6409.682,10.67,Basic
38,16412.32,62.88245210727969,261,62.6424427480916,Low,6662.092735632184,12.26,Basic
39,23666.44,85.43841155234658,277,85.13107913669066,Low,9575.307523465703,30.63,Basic
40,17079.81,68.87020161290323,248,68.59361445783134,Low,6926.985060483871,13.93,Basic
41,13038.85,54.328541666666666,240,54.10311203319503,Low,5303.838562500001,3.7,Basic
42,15626.3,60.80272373540856,257,60.567054263565886,Low,6345.860817120623,10.27,Basic
43,26222.04,97.8434328358209,268,97.47970260223047,Low,10598.569029850747,37.08,Basic
44,19291.98,70.6665934065934,273,70.40868613138686,Low,7819.891978021978,19.56,Basic
45,14708.48,64.79506607929515,227,64.51087719298245,Low,5970.930519823789,7.91,Basic
46,17750.69,62.28312280701754,285,62.065349650349646,Low,7204.460936842105,15.68,Basic
47,16169.48,69.99774891774892,231,69.69603448275862,Low,6558.091324675325,11.61,Basic
48,20891.14,77.95201492537313,268,77.66223048327137,Low,8460.241604477611,23.6,Basic
49,18350.93,66.73065454545454,275,66.48887681159421,Low,7442.8911963636365,17.19,Basic
50,16949.83,68.90174796747968,246,68.62279352226722,Low,6874.402524390245,13.6,Basic
51,15958.63,65.9447520661157,242,65.67337448559671,Low,6475.835425619835,11.09,Basic
52,14090.93,59.45540084388186,237,59.20558823529412,Low,5725.308620253165,6.36,Basic
53,17962.57,70.71877952755905,254,70.44145098039216,Low,7282.443633858268,16.18,Basic
54,20047.94,72.9016,275,72.63746376811594,Low,8123.546479999999,21.48,Basic
55,19880.28,70.00098591549295,284,69.75536842105262,Low,8058.312295774648,21.07,Basic
56,17546.76,64.0392700729927,274,63.8064,Low,7120.115781021897,15.15,Basic
57,16263.67,64.28328063241106,253,64.03019685039371,Low,6600.652984189724,11.88,Basic
58,14660.2,60.0827868852459,244,59.83755102040816,Low,5955.304836065575,7.81,Basic
59,18674.1,71.82346153846153,260,71.54827586206896,Low,7569.187038461538,17.98,Basic
60,19523.77,72.31025925925925,270,72.04343173431735,Low,7912.201077777779,20.15,Basic
61,17583.4,58.22317880794702,302,58.03102310231024,Low,7141.426953642385,15.29,Basic
62,47397.36000000001,166.89211267605637,284,166.3065263157895,Low,19094.21163380282,90.65,Premium
63,23022.45,94.35430327868852,244,93.9691836734694,Low,9310.486290983608,28.96,Basic
64,16984.32,64.33454545454545,264,64.09177358490565,Low,6892.228363636364,13.71,Basic
65,20742.65,83.97834008097166,247,83.63971774193548,Low,8396.353502024293,23.2,Basic
66,19141.15,65.55188356164383,292,65.32815699658704,Low,7763.725565068495,19.21,Basic
67,15824.54,63.29816,250,63.04597609561753,Low,6423.805448000001,10.76,Basic
68,21764.98,85.35286274509804,255,85.019453125,Low,8808.09785882353,25.8,Basic
69,26948.38,110.898683127572,243,110.44418032786884,Low,10885.521604938273,38.89,Basic
70,18761.92,70.00716417910446,268,69.74691449814125,Low,7606.170149253731,18.22,Basic
71,14922.86,60.662032520325205,246,60.41643724696357,Low,6061.142609756098,8.47,Basic
72,17330.9,70.45081300813008,246,70.16558704453442,Low,7027.29524390244,14.57,Basic
73,20376.79,75.19110701107012,271,74.91466911764707,Low,8254.57333210332,22.3,Basic
74,19501.87,78.00748,250,77.69669322709163,Low,7899.1502439999995,20.06,Basic
75,22067.71,76.8909756097561,287,76.62399305555556,Low,8936.251292682928,26.6,Basic
76,20627.99,75.28463503649635,274,75.01087272727273,Low,8355.981390510951,22.94,Basic
77,19346.61,81.97716101694915,236,81.63126582278481,Low,7834.037148305085,19.65,Basic
78,18895.86,71.57522727272728,264,71.3051320754717,Low,7659.016568181819,18.55,Basic
79,16967.1,69.25346938775509,245,68.97195121951219,Low,6881.116040816327,13.64,Basic
80,18853.38,69.06,273,68.80795620437956,Low,7643.97,18.45,Basic
81,19651.47,70.94393501805055,277,70.68874100719425,Low,7964.971180505416,20.48,Basic
82,17413.01,66.20916349809886,263,65.95837121212121,Low,7063.966749049429,14.8,Basic
83,20948.14,77.29940959409593,271,77.0152205882353,Low,8483.745822878227,23.75,Basic
84,17033.03,67.32422924901185,253,67.05917322834645,Low,6909.309268774703,13.82,Basic
85,17442.68,73.597805907173,237,73.28857142857143,Low,7070.251341772152,14.84,Basic
86,17622.9,63.85108695652175,276,63.62057761732852,Low,7151.115326086958,15.35,Basic
87,17514.51,70.62302419354837,248,70.33939759036144,Low,7101.3909072580645,15.03,Basic
88,22064.22,85.85299610894943,257,85.52023255813954,Low,8928.543898832686,26.55,Basic
89,20497.64,72.68666666666667,282,72.42982332155476,Low,8305.462000000001,22.63,Basic
